Algoritmo,Tamano,Shuffle,NodosGenerados,NodosExpandidos,FronteraMaxima,FactorRamificacion,LongitudSolucion,Tiempo_ms
IDAStar,16,25,5,3,2,1.15091,3,0.006569
BeamSearch,16,25,24,11,14,2.44335,3,0.037029
RBFS,16,25,9,3,3,1.57822,3,0.00575
SMAStar,16,25,9,4,6,1.57822,3,0.01251
Greedy,16,50,5817,2877,2941,1.04664,122,17.1827
BFS,16,50,3591262,1871417,1719845,-1,-1,-1
AStar,16,50,846,409,438,1.26571,22,2.44958
IDAStar,16,50,558,272,21,1.23702,22,1.15247
BeamSearch,16,50,3467,1696,100,1.36411,22,9.73626
RBFS,16,50,595,284,3,1.24145,22,0.150587
SMAStar,16,50,1215,592,624,1.29074,22,5.21391
Greedy,16,100,5669,2732,2938,1.01627,280,30.5984
BFS,16,100,2982088,1550826,1431262,-1,-1,-1
AStar,16,100,42870,21641,21048,1.2713,38,246.988
IDAStar,16,100,61229,29757,37,1.28454,38,147.199
BeamSearch,16,100,6666,3323,100,1.20311,38,35.777
RBFS,16,100,65622,31982,3,1.28712,38,8.72279
SMAStar,16,100,80363,41826,38538,1.29469,38,16537
Greedy,16,200,6297,3103,3195,1.02665,194,65.56
BFS,16,200,2248927,1164599,1084328,-1,-1,-1
AStar,16,200,1851554,971358,870297,1.32751,46,24653
IDAStar,16,200,8417739,4154256,43,-1,-1,-1
BeamSearch,16,200,9905,4896,100,1.1407,54,100.837
RBFS,16,200,5000001,2469533,3,-1,-1,-1
SMAStar,16,200,104221,53968,50253,-1,-1,-1
Greedy,16,25,4,2,3,3,1,0.007251
BFS,16,25,4,2,3,3,1,0.004694
AStar,16,25,4,2,3,3,1,0.005533
IDAStar,16,25,2,1,0,1,1,0.001787
BeamSearch,16,25,4,2,3,3,1,0.004964
RBFS,16,25,4,1,3,3,1,0.002457
SMAStar,16,25,4,2,3,3,1,0.004854
Greedy,16,50,3525,1713,1813,1.02032,212,10.2035
BFS,16,50,87784,44231,43554,2.15662,14,295.299
AStar,16,50,57,25,33,1.1719,14,0.166104
IDAStar,16,50,33,20,13,1.10477,14,0.077689
BeamSearch,16,50,1826,923,100,1.59351,14,5.19307
